cutoff,college_tier,nirf_rank,annual_fees,user_selected
180,Tier 1,1,73524,0
190.14,Tier 1,9,78948,0
189.9,Tier 1,16,159853,1
189.5,Tier 3,14,154846,0
183.17,Tier 1,20,160040,0
183.04,Tier 1,23,74892,1
183,Tier 1,40,158416,1
182.83,Tier 1,67,70353,0
180.41,Tier 1,47,81123,0
180.4,Tier 2,67,76144,1
180.14,Tier 2,101,160124,0
180.14,Tier 2,105,65409,0
180,Tier 2,110,154737,1
179.99,Tier 2,120,81255,0
179.5,Tier 2,130,162174,1
189.36,Tier 2,160,70564,1
189.24,Tier 2,100,155883,0
189.18,Tier 3,87,83005,1
188.78,Tier 1,17,71853,1
180.4,Tier 2,102,79534,1
180.14,Tier 1,21,153631,1
180.14,Tier 2,104,83005,0
180,Tier 1,35,75292,0
179.99,Tier 1,3,150083,0
179.5,Tier 1,4,156903,0
168.62,Tier 3,9,151900,1
168.39,Tier 1,16,81225,0
168.21,Tier 2,43,149147,1
190.75,Tier 2,51,147346,0
190.63,Tier 2,101,164213,1
190.14,Tier 2,121,78291,1
189.9,Tier 2,151,160961,0
189.5,Tier 2,153,154667,1
