cutoff,college_tier,nirf_rank,annual_fees,user_selected
171,3,95,70353,0
134,3,87,70353,0
191,3,183,70353,0
180,2,53,70353,1
140,1,43,65106,1
194,3,119,65106,0
194,3,188,65106,0
143,1,30,65106,1
122,3,81,81123,0
141,3,173,81123,0
172,2,66,81123,0
121,2,37,81123,0
149,2,57,148613,0
157,1,32,148613,1
121,2,46,148613,1
183,3,158,148613,0
179,1,17,84185,1
140,2,93,84185,0
152,2,40,84185,1
195,2,83,84185,1
177,3,129,83022,0
141,2,76,83022,0
168,2,41,83022,0
178,3,169,83022,0
161,2,40,150083,1
179,1,3,150083,1
199,2,85,150083,0
134,1,36,150083,1
181,1,4,158343,1
181,2,75,158343,0
166,2,41,158343,0
181,3,200,158343,0
170,2,46,164213,0
174,2,48,164213,0
183,2,55,164213,0
122,1,21,164213,1
170,2,81,154667,0
126,1,12,154667,1
140,3,80,154667,0
192,1,40,154667,1
158,2,91,80299,0
137,1,13,80299,1
123,3,107,80299,0
179,2,56,80299,0
133,2,93,156951,0
128,1,32,156951,1
172,3,106,156951,0
121,1,34,156951,1
179,3,86,147108,0
190,1,10,147108,1
163,1,15,147108,1
127,1,17,147108,1
166,2,77,160961,0
154,2,74,160961,0
197,1,9,160961,1
200,3,83,160961,0
155,2,67,77628,0
169,2,96,77628,0
123,2,88,77628,0
121,2,98,77628,0
125,2,42,163423,1
173,1,30,163423,1
123,1,20,163423,1
173,3,163,163423,0
182,3,155,151779,0
137,2,72,151779,0
163,1,46,151779,1
153,2,83,151779,0
193,2,39,71853,1
181,1,35,71853,1
133,1,32,71853,1
167,3,101,71853,0
134,2,95,73524,0
191,1,49,73524,1
197,1,12,73524,1
181,1,41,73524,1
159,2,85,76560,0
199,1,18,76560,1
172,1,21,76560,1
143,3,199,76560,0
145,1,21,154846,1
179,2,48,154846,1
160,1,46,154846,1
148,1,40,154846,1
134,1,46,147795,1
164,3,135,147795,0
184,3,189,147795,0
190,3,138,147795,0
128,2,94,72786,0
120,2,65,72786,0
127,1,22,72786,1
182,1,22,72786,1
130,3,183,83014,0
200,1,25,83014,1
127,1,22,83014,1
154,1,28,83014,1
154,1,29,147346,1
152,1,13,147346,1
124,2,89,147346,0
160,2,30,147346,1
147,3,133,145758,0
126,3,117,145758,0
192,2,95,145758,0
191,1,27,145758,1
131,2,52,161820,0
153,2,38,161820,0
152,1,15,161820,1
167,2,75,161820,0
142,2,33,83144,1
181,2,59,83144,1
156,2,32,83144,1
163,1,22,83144,1
154,3,153,146620,0
184,3,146,146620,0
166,1,33,146620,1
197,3,170,146620,0
122,2,90,76144,0
120,3,174,76144,0
124,3,94,76144,0
133,2,69,76144,0
146,1,39,160932,1
128,1,44,160932,1
198,2,45,160932,1
134,2,89,160932,0
161,1,37,160040,1
196,1,47,160040,1
170,3,100,160040,0
182,3,194,160040,0
171,2,60,81998,0
123,1,8,81998,1
142,1,1,81998,1
134,1,44,81998,1
162,3,196,66432,0
148,1,3,66432,1
155,2,56,66432,0
132,1,4,66432,1
151,2,68,84067,0
190,2,94,84067,0
178,3,103,84067,0
147,1,42,84067,1
185,1,34,148683,1
161,1,43,148683,1
164,3,179,148683,0
181,3,111,148683,0
176,2,82,164564,0
125,2,48,164564,0
147,2,86,164564,0
147,1,27,164564,1
163,3,178,68399,0
149,2,84,68399,0
181,2,52,68399,1
194,2,61,68399,1
181,1,13,162879,1
120,1,9,162879,1
146,3,162,162879,0
181,1,22,162879,1
196,2,49,81111,1
122,1,26,81111,1
189,2,43,81111,1
191,1,17,81111,1
146,2,57,145306,0
128,3,145,145306,0
181,1,34,145306,1
